鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
竹北市,土地,中興段160地號,16.8,都市：其他:道路用地,,,1111102,土地2建物0車位0,,,其他,,,,0,0,0,0,有,無,1719900,102375,,0,0,包含公共設施保留地用地；,RPUONLRJJIHGFBJ68DA,0,0,0,無,1
新埔鎮,土地,汶水坑段1387-1地號,266,,山坡地保育區,交通用地,1111101,土地4建物0車位0,,,其他,,,,0,0,0,0,有,無,1689870,6353,,0,0,,RPVVMLSJJIHGFBJ86DA,0,0,0,無,
竹東鎮,土地,竹東段竹東小段367-127地號,14,都市：其他:住宅區,,,1111101,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,420000,30000,,0,0,,RPVNMLOJJIHGFCJ38DA,0,0,0,無,
新豐鄉,房地(土地+建物),新竹縣新豐鄉榮華街１４７號,91.05,,鄉村區,乙種建築用地,1111106,土地1建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,960111,192.2,4,3,3,有,無,9000000,46826,,0,0,,RPOOMLTJJIHGFDJ38DA,149.26,27,15.94,無,
竹東鎮,土地,油林段596-12地號,82,都市：其他:鐵路用地,,,1111105,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,2250000,27439,,0,0,親友、員工、共有人或其他特殊關係間之交易；未登記建物；,RPQOMLLKJIHGFCJ87EA,0,0,0,無,
關西鎮,土地,石光段2031-4地號,33.15,,特定農業區,農牧用地,1111108,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,150000,4525,,0,0,,RPPWMLSJJIHGFBJ98DA,0,0,0,無,2
關西鎮,土地,正義段127地號,29.08,都市：其他:道路用地,,,1111102,土地3建物0車位0,,,其他,,,,0,0,0,0,有,無,100000,3439,,0,0,包含公共設施保留地用地；,RPSPMLNKJIHGFBJ18DA,0,0,0,無,
芎林鄉,土地,上山貳段264地號,271.69,,山坡地保育區,農牧用地,1111102,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,570000,2098,,0,0,,RPXNMLPKJIHGFCJ88EA,0,0,0,無,
芎林鄉,土地,大華段425地號,260.13,都市：其他:農業區,,,1111102,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,2300000,8842,,0,0,,RPROMLTJJIHGFCJ58DA,0,0,0,無,
新豐鄉,土地,濱海段843地號,104.78,,一般農業區,農牧用地,1111101,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,348645,3327,,0,0,,RPXNMLKKJIHGFDJ38DA,0,0,0,無,
竹北市,土地,府前段258地號,12.18,都市：其他:第二種住宅區,,,1111104,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,900000,73892,,0,0,含土地增值稅或其他稅費114752元；畸零地或有合併使用效益；,RPQOMLQKJIHGFBJ18DA,0,0,0,無,
新埔鎮,土地,仰德段255地號,180.88,,特定農業區,農牧用地,1111104,土地3建物0車位0,,,其他,,,,0,0,0,0,有,無,1473000,8144,,0,0,親友、員工、共有人或其他特殊關係間之交易；未登記建物；,RPVNMLQKJIHGFBJ58DA,0,0,0,無,3
竹北市,房地(土地+建物),新竹縣竹北市嘉豐十路１號八樓之七,5.26,都市：其他:第二種商業區,,,1111101,土地1建物1車位0,八層,十三層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,970321,44.15,1,1,1,有,有,5200000,117780,,0,0,親友、員工、共有人或其他特殊關係間之交易；,RPTQMLQKJIHGFBJ78EA,27.72,0,2.75,有,
寶山鄉,土地,雙龍段570-2地號,386.53,,山坡地保育區,特定目的事業用地,1111103,土地2建物0車位0,,,其他,,,,0,0,0,0,有,無,1901638,4920,,0,0,協議價購；,RPSNMLRLIIHGFCJ48DA,0,0,0,無,
湖口鄉,土地,德盛段534地號,5322,,特定農業區,農牧用地,1111105,土地4建物0車位0,,,其他,,,,0,0,0,0,有,無,17575855,3302,,0,0,,RPQNMLPJJIHGFDJ08DA,0,0,0,無,
尖石鄉,土地,嘉樂段146地號,29400,,山坡地保育區,林業用地,1111109,土地4建物0車位0,,,其他,,,,0,0,0,0,有,無,8000000,272,,0,0,,RPPOMLQKJIHGFCJ28EA,0,0,0,無,
寶山鄉,土地,大壢段下大壢小段12-24地號,1335,,山坡地保育區,農牧用地,1111111,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,4500000,3371,,0,0,,RPRNMLSKJIHGFCJ58EA,0,0,0,無,
新埔鎮,土地,黃梨園段222地號,213.6,,山坡地保育區,農牧用地,1111109,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,280000,1311,,0,0,,RPUNMLRKJIHGFBJ68EA,0,0,0,無,
竹北市,房地(土地+建物)+車位,新竹縣竹北市嘉豐十路５號五樓之十一,8.37,都市：其他:第二種商業區,,,1111103,土地1建物1車位1,五層,十三層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,970321,92.23,1,1,1,有,有,9700000,105172,坡道平面,33.31,0,,RPUPMLKKJIHGFBJ08DA,37.73,6.67,0,有,
新埔鎮,土地,上旱坑段583地號,285.6,,山坡地保育區,遊憩用地,1111114,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,1600000,5602,,0,0,親友、員工、共有人或其他特殊關係間之交易；,RPWNMLOKJIHGFBJ48DA,0,0,0,無,
關西鎮,土地,關農段621-28地號,549.81,,,,1111101,土地8建物0車位0,,,其他,,,,0,0,0,0,有,無,20500000,37286,,0,0,,RPRQMLQKJIHGFBJ58EA,0,0,0,無,
湖口鄉,房地(土地+建物),新竹縣湖口鄉大智路１巷２１號四樓,17.31,,工業區,丁種建築用地,1111103,土地2建物1車位0,四層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,930605,71.24,4,0,4,有,有,4000000,56148,,0,0,,RPWOMLLLJIHGFDJ58DA,56.35,0,3.93,有,4
湖口鄉,房地(土地+建物),新竹縣湖口鄉光復東路３１號三樓,25.03,,工業區,丁種建築用地,1111104,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,840512,89.53,3,2,2,有,無,4250000,47470,,0,0,,RPQNMLMLJIHGFDJ97DA,71.94,0,8.97,無,
新豐鄉,土地,中崙段1288-24地號,140,,特定農業區,甲種建築用地,1111105,土地2建物0車位0,,,其他,,,,0,0,0,0,有,無,4235000,30250,,0,0,,RPQNMLPKJIHGFDJ18DA,0,0,0,無,
竹北市,土地,家興段573地號,274.61,都市：其他:住宅區,,,1111115,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,56021000,204002,,0,0,政府機關標讓售；,RPOQMLMLJIHGFBJ97EA,0,0,0,無,
新埔鎮,房地(土地+建物),新竹縣新埔鎮義民路三段１１３巷１０弄２３號六樓,23.61,,特定農業區,甲種建築用地,1111105,土地1建物1車位0,六層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,841123,65.62,2,2,1,有,有,4200000,64005,,0,0,夾層；其他增建；,RPSPMLMLJIHGFBJ18DA,46.01,0,5.02,有,
新埔鎮,土地,下寮段1383-1地號,625,,山坡地保育區,農牧用地,1111107,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,875000,1400,,0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLNKJIHGFBJ67DA,0,0,0,無,
北埔鄉,土地,埔中段1151地號,38.22,都市：其他:住宅區,,,1111109,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,350000,9158,,0,0,親友、員工、共有人或其他特殊關係間之交易；,RPVPMLLLJIHGFCJ58EA,0,0,0,無,5
尖石鄉,土地,新樂段水田小段74地號,2956,,山坡地保育區,農牧用地,1111110,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,384280,130,,0,0,,RPPQMLMLJIHGFCJ18EA,0,0,0,無,
五峰鄉,土地,花園段271地號,160,,山坡地保育區,丙種建築用地,1111111,土地2建物0車位0,,,其他,,,,0,0,0,0,有,無,400000,2500,,0,0,,RPPNMLNLJIHGFCJ87DA,0,0,0,無,
竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮光明路１２６巷８５號六樓,25.6,都市：其他:科技商務服務專用區,,,1111104,土地3建物1車位1,六層,十四層,住宅大樓(11層含以上有電梯),辦公用,鋼筋混凝土造,1040325,174.63,3,2,2,有,有,16660000,95402,坡道平面,0,0,陽台外推；,RPOQMLMLJIHGFCJ97DA,91.13,0,9.74,有,6
寶山鄉,房地(土地+建物),新竹縣寶山鄉雙豐路４９號,132.77,都市：其他:住宅區,,,1111105,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土造,,189.72,7,2,3,有,無,15000000,79064,,0,0,三樓後方廚房增建其他增建；,RPQNMLLKJIHGFCJ67DA,189.72,0,0,無,
尖石鄉,土地,新樂段水田小段411-2地號,1000,,山坡地保育區,農牧用地,1111109,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,150000,150,,0,0,親友、員工、共有人或其他特殊關係間之交易；農作物；,RPVOMLMLJIHGFCJ48DA,0,0,0,無,
橫山鄉,土地,八十分段616地號,2447.16,,山坡地保育區,林業用地,1111111,土地6建物0車位0,,,其他,,,,0,0,0,0,有,無,5100000,2084,,0,0,,RPSPMLMLJIHGFCJ28DA,0,0,0,無,7
橫山鄉,土地,濫子段薯園小段335-1地號,8749,,山坡地保育區,林業用地,1111108,土地5建物0車位0,,,其他,,,,0,0,0,0,有,無,7000000,800,,0,0,,RPTOMLNLJIHGFCJ38DA,0,0,0,無,
寶山鄉,土地,大壢段下大壢小段288地號,337.13,,山坡地保育區,農牧用地,1111107,土地2建物0車位0,,,其他,,,,0,0,0,0,有,無,1250000,3708,,0,0,,RPUOMLMLJIHGFCJ48EA,0,0,0,無,8
湖口鄉,房地(土地+建物),新竹縣湖口鄉達生路２７７號,76,都市：其他:住宅區,,,1111114,土地1建物1車位0,全,二層,透天厝,住商用,鋼筋混凝土造,861219,107.16,0,0,0,無,無,9800000,91452,,0,0,,RPVNMLNLJIHGFDJ58DA,101.64,5.52,0,無,
竹北市,土地,社北段144地號,4.59,都市：其他:公園用地,,,1111108,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,250800,54641,,0,0,包含公共設施保留地用地；,RPVQMLNLJIHGFBJ68DA,0,0,0,無,9
竹東鎮,土地,東寧段2905-2地號,39.5,,山坡地保育區,水利用地,1111109,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,100000,2532,,0,0,※本案買賣價金為賣方實得價款，賣方不負擔任何稅費，所有稅費均由買方負擔。,RPPNMLPLJIHGFCJ18EA,0,0,0,無,
尖石鄉,土地,煤源段486-12地號,15985,,山坡地保育區,農牧用地,1111115,土地3建物0車位0,,,其他,,,,0,0,0,0,有,無,10000000,626,,0,0,未登記建物；借名登記返還；,RPUNMLPLJIHGFCJ68EA,0,0,0,無,
橫山鄉,房地(土地+建物),新竹縣橫山鄉橫山３８號,99.23,,鄉村區,乙種建築用地,1111101,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,,162.76,8,2,4,有,無,4700000,28877,,0,0,頂樓加蓋；,RPXNMLMJJIHGFCJ38DA,162.76,0,0,無,10
竹東鎮,房地(土地+建物),新竹縣竹東鎮明星路２３９巷３８號,96.27,都市：其他:住一,,,1111110,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,,115.2,4,2,1,有,無,4500000,39063,,0,0,,RPROMLPLJIHGFCJ38DA,115.2,0,0,無,
寶山鄉,房地(土地+建物)+車位,新竹縣寶山鄉雙豐二街９０號六樓,39.98,都市：其他:住宅區,,,1111106,土地1建物1車位1,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1050929,159.22,3,2,2,有,有,14000000,87929,坡道平面,29.37,0,,RPTRMLLLJIHGFCJ48DA,80.04,0,10.07,有,11
竹東鎮,土地,上段629地號,7354.28,,山坡地保育區,農牧用地,1111117,土地3建物0車位0,,,其他,,,,0,0,0,0,有,無,55000000,7479,,0,0,,RPQNMLSKJIHGFCJ38DA,0,0,0,無,12
橫山鄉,土地,矺子段538地號,503.97,,山坡地保育區,農牧用地,1111117,土地14建物0車位0,,,其他,,,,0,0,0,0,有,無,900000,1786,,0,0,,RPPOMLOLJIHGFCJ18EA,0,0,0,無,
北埔鄉,土地,南坑段小南坑小段124地號,5538,,山坡地保育區,林業用地,1111101,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,2500000,451,,0,0,,RPWPMLLLJIHGFCJ68EA,0,0,0,無,13
竹北市,土地,新國段643-1地號,1409.06,都市：其他:道路用地,,,1111117,土地14建物0車位0,,,其他,,,,0,0,0,0,有,無,153159736,108696,,0,0,包含公共設施保留地用地；,RPTQMLOLJIHGFBJ58DA,0,0,0,無,14
