鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
竹北市,房地(土地+建物)+車位,新竹縣竹北市六家五路二段２７８號十八樓,37.13,住,,,1070121,土地1建物1車位2,十八層,二十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010924,292.21,4,2,2,有,有,20000000,78599,坡道平面,69.56,2500000,,RPTNMLPKNHOFFBJ09CA,134.8,4.68,11.77,,
竹北市,房地(土地+建物),新竹縣竹北市中華路１４８３巷２弄８號,159.48,,山坡地保育區,丙種建築用地,1080412,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,,248.01,4,2,3,有,無,5000000,20160,,0,0,含增建或未登記建物。；,RPTOMLQKNHOFFBJ66CA,221.9,6.27,19.84,,
竹北市,房地(土地+建物)+車位,新竹縣竹北市復興七路５６號４樓,25.35,住,,,1080303,土地1建物1車位2,四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,970825,156.73,3,2,2,有,有,11500000,73375,坡道機械,0,0,,RPOOMLRKNHOFFBJ88CA,72.32,2.23,16.19,,
竹北市,房地(土地+建物)+車位,新竹縣竹北市自強七街３０號六樓,22.31,住,,,1080402,土地1建物1車位1,六層,十層,套房(1房1廳1衛),住家用,鋼筋混凝土造,921231,112.03,1,1,1,有,有,7200000,64274,坡道平面,0,0,,RPSOMLRKNHOFFBJ66CA,55.69,0,6.32,,
竹北市,房地(土地+建物)+車位,新竹縣竹北市自強五路１３６號二樓,46.9,住,,,1080306,土地1建物1車位2,二層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,941213,275.72,4,2,2,有,有,14600000,52952,坡道平面,64.1,0,,RPVOMLRKNHOFFBJ96CA,142.49,4.61,15.92,,
竹北市,房地(土地+建物),新竹縣竹北市縣政二路５５號五樓之十一,6.05,商,,,1080430,土地1建物1車位0,五層,十層,套房(1房1廳1衛),商業用,鋼骨鋼筋混凝土造,961228,47.57,1,1,1,有,有,3480000,73155,,0,0,,RPWOMLRKNHOFFBJ07CA,33.66,0,0.1,,
竹北市,房地(土地+建物),新竹縣竹北市福興路４２２巷３號,82.69,住,,,1080403,土地2建物1車位0,全,五層,透天厝,見其他登記事項,鋼筋混凝土造,1080115,266.45,5,2,5,有,無,19500000,73184,,0,0,,RPPQMLRKNHOFFBJ56CA,240.53,0,25.92,,
竹北市,房地(土地+建物),新竹縣竹北市興海街103巷131弄3號,127.24,,特定農業區,農牧用地,1080416,土地3建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,880415,149.33,5,2,3,有,無,8000000,53573,,0,0,,RPXOMLKLNHOFFBJ56CA,121.11,18.77,9.45,,
竹北市,房地(土地+建物)+車位,新竹縣竹北市嘉興二街７號五樓,26.97,住,,,1080409,土地1建物1車位2,五層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040901,210.08,3,2,2,有,有,12200000,58073,坡道平面,0,0,,RPPPMLKLNHOFFBJ48CA,86.81,3.79,8.93,,
竹北市,土地,社南段740-7地號,358.96,,特定農業區,農牧用地,1080210,土地2建物0車位0,,,其他,,,,0,0,0,0,有,無,3950000,11004,,0,0,,RPTNMLOLNHOFFBJ09CA,0,0,0,,
竹北市,房地(土地+建物)+車位,新竹縣竹北市六家五路一段３５８號十一樓,49.64,住,,,1071107,土地1建物1車位1,十一層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060705,240.89,4,2,3,有,有,19880000,91458,坡道平面,38.83,1400000,,RPSNMLKMNHOFFBJ68CA,125.91,0,10.15,,
竹北市,房地(土地+建物),新竹縣竹北市縣政二十路４２號,70.34,住,,,1080322,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,881117,218.19,5,3,4,有,無,13200000,60498,,0,0,,RPQQMLKMNHOFFBJ78CA,179.08,23.77,15.34,,
關西鎮,車位,新竹縣關西鎮中山東路16號等公共設施,3.05,商,,,1080411,土地0建物0車位1,,,其他,,,,27.47,0,0,0,有,有,750000,,坡道平面,27.47,750000,單獨車位交易。；,RPPOMLNJOHOFFBJ58CA,0,0,0,,
尖石鄉,土地,煤源段270-4地號,2049.75,,山坡地保育區,農牧用地,1080314,土地4建物0車位0,,,其他,,,,0,0,0,0,有,無,800000,390,,0,0,親友、員工或其他特殊關係間之交易。；,RPWNMLNKNHOFFCJ66CA,0,0,0,,
尖石鄉,房地(土地+建物),新竹縣尖石鄉那羅４３號,1478,,山坡地保育區,農牧用地,1071108,土地2建物1車位0,一層,一層,農舍,農舍,鋼造,860701,322.16,6,2,2,有,無,3000000,,,0,0,親友、員工或其他特殊關係間之交易。；,RPPOMLQKNHOFFCJ98CA,322.16,0,0,,
