鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
新豐鄉,房地(土地+建物),瑞興村１０鄰崁頭１９９之３２號,31.27,,特定農業區,甲種建築用地,1091101,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,840830,90.17,3,2,2,有,無,2050000,22735,,0,0,,RPUOMLMJJIPFFDJ98DA,77.13,6.86,0,無,
橫山鄉,土地,新庄段242地號,1089.53,,特定農業區,農牧用地,1091102,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,4300000,3947,,0,0,,RPQRMLMKJIPFFCJ88DA,0,0,0,無,
竹北市,房地(土地+建物)+車位,勝利六街５０號十樓之一,5.88,商,,,1091102,土地1建物1車位1,十層,十層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,930309,42.32,1,1,1,有,有,2870000,67817,坡道機械,0,0,陽台外推；,RPSOMLOJJIPFFBJ78DA,17.04,0,3.6,有,
竹北市,房地(土地+建物),嘉政九街３２號六樓之二十,11.25,住,,,1091102,土地1建物1車位0,六層,十層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,970606,55.41,1,1,1,有,有,4350000,78506,,0,0,,RPSPMLMKJIPFFBJ78DA,29.84,0,5.93,有,
湖口鄉,土地,光華段284地號,57.91,住,,,1091102,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,220000,3799,,0,0,包含公共設施保留地用地；,RPXPMLTJJIPFFDJ47DA,0,0,0,無,
湖口鄉,土地,中勢段479地號,133.74,農,,,1091104,土地1建物1車位0,一層，二層，屋頂突出物,二層,其他,住宅、梯間,鋼筋混凝土造,920108,189.71,3,2,2,有,無,2500000,18693,,0,0,本件買賣土地及建物分屬不同所有權人，買受人為同一人，且為妻舅親戚之間特殊交易移轉。親友、員工、共有人或其他特殊關係間之交易；預售屋、或土地及建物分件登記案件；,RPTNMLMKJIPFFDJ88DA,0,0,0,無,
新豐鄉,房地(土地+建物),崁頭９６之２５號,84.46,,特定農業區,甲種建築用地,1091104,土地4建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1090529,83.06,4,1,3,有,無,3500000,42138,,0,0,,RPQOMLMKJIPFFDJ78EA,75.03,0,8.04,無,
北埔鄉,土地,南昌段557地號,141.34,,特定農業區,甲種建築用地,1091102,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,585888,4145,,0,0,地清或未辦繼承標售；,RPUNMLNKJIPFFCJ09EA,0,0,0,無,
北埔鄉,土地,南昌段557地號,70.67,,特定農業區,甲種建築用地,1091102,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,279888,3960,,0,0,地清或未辦繼承標售；,SPUNMLNKJIPFFCJ56EA,0,0,0,無,
新埔鎮,土地,新北段748地號,145.02,,山坡地保育區,農牧用地,1091102,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,379600,2618,,0,0,,RPQOMLMKJIPFFBJ58EA,0,0,0,無,
新埔鎮,土地,新北段758地號,5972.98,,山坡地保育區,農牧用地,1091102,土地10建物0車位0,,,其他,,,,0,0,0,0,有,無,7800000,1306,,0,0,,RPROMLMKJIPFFBJ68EA,0,0,0,無,
湖口鄉,土地,信勢段13-2地號,138.51,住,,,1091101,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,1180000,8519,,0,0,包含公共設施保留地用地；,RPXNMLQKJIPFFDJ17EA,0,0,0,無,
湖口鄉,土地,光華段300-5地號,33.83,都市：其他:住宅區,,,1091102,土地3建物0車位0,,,其他,,,,0,0,0,0,有,無,170864,5051,,0,0,包含公共設施保留地用地；,RPROMLQKJIPFFDJ66EA,0,0,0,無,
竹東鎮,土地,資源段994-7地號,68,住,,,1091106,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,1500000,22059,,0,0,,RPPNMLRKJIPFFCJ98EA,0,0,0,無,
北埔鄉,土地,公園段382地號,36.32,都市：其他:傳統聚落保存區,,,1091104,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,343000,9444,,0,0,地清或未辦繼承標售；,RPPOMLRKJIPFFCJ09EA,0,0,0,無,
北埔鄉,土地,公園段381-1地號,4.6,都市：其他:傳統聚落保存區,,,1091104,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,45500,9891,,0,0,地清或未辦繼承標售；,SPPOMLRKJIPFFCJ56EA,0,0,0,無,
北埔鄉,土地,公園段378地號,15.14,都市：其他:傳統聚落保存區,,,1091104,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,169000,11162,,0,0,地清或未辦繼承標售；,TPPOMLRKJIPFFCJ66EA,0,0,0,無,
新埔鎮,土地,巨埔段542-3地號,351.78,,一般農業區,農牧用地,1091102,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,2500000,7107,,0,0,,RPPNMLRKJIPFFBJ88EA,0,0,0,無,
竹北市,房地(土地+建物),國光街２巷１弄９８號,124.53,農,,,1091102,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,810828,170.27,4,2,2,有,無,5250000,30833,,0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLSKJIPFFBJ88DA,170.27,0,0,無,
竹北市,土地,東興段291-1地號,662.68,,,,1091106,土地3建物0車位0,,,其他,,,,0,0,0,0,有,無,8600000,12978,,0,0,包含公共設施保留地用地；,RPSOMLRKJIPFFBJ56DA,0,0,0,無,
湖口鄉,土地,中興段中興小段200地號,96.84,,工業區,丁種建築用地,1091104,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,10250000,105845,,0,0,,RPXOMLPJJIPFFDJ96DA,0,0,0,無,
橫山鄉,土地,新十分寮段222地號,110.96,,山坡地保育區,水利用地,1091109,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,51000,460,,0,0,,RPUOMLRKJIPFFCJ96EA,0,0,0,無,
寶山鄉,土地,新城段新城小段757地號,152,,山坡地保育區,水利用地,1091103,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,633312,4167,,0,0,政府機關標讓售；,RPUNMLTKJIPFFCJ07EA,0,0,0,無,
竹東鎮,土地,竹東段竹東小段42-144地號,35,住,,,1091105,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,1944600,55560,,0,0,政府機關標讓售；,RPSNMLKLJIPFFCJ68EA,0,0,0,無,
湖口鄉,房地(土地+建物)+車位,貴州街１００巷３號十三樓之２,20.52,住,,,1091101,土地1建物1車位1,十三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090122,121.31,2,2,1,有,有,6300000,56818,坡道平面,26.27,900000,,RPSNMLQKJIPFFDJ56DA,60.56,0,4.11,有,
湖口鄉,房地(土地+建物)+車位,貴州街１００巷５號二樓之６,21.71,住,,,1091101,土地1建物1車位1,二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090122,127.76,2,2,1,有,有,5450000,44832,坡道平面,26.27,900000,,RPTNMLQKJIPFFDJ66DA,59.69,0,9.32,有,
湖口鄉,土地,光華段300-3地號,13,都市：其他:,,,1091103,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,65000,5000,,0,0,包含公共設施保留地用地；,RPTOMLMKJIPFFDJ98DA,0,0,0,無,
竹北市,房地(土地+建物)+車位,六家五路二段１２８號,36.65,住,,,1091103,土地1建物1車位1,一層，見其他登記事項,十三層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,980602,227.11,0,0,0,無,有,33880000,149179,坡道平面,33.47,0,陽台外推；夾層；,RPXNMLTKJIPFFBJ17DA,107.67,0,31.78,有,
竹北市,房地(土地+建物)+車位,長青路一段３６９號二樓之一,31.83,,鄉村區,乙種建築用地,1091108,土地1建物1車位1,二層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090416,143.45,3,2,2,有,有,7320000,54655,坡道平面,26.9,950000,,RPRNMLLKJIPFFBJ38DA,75.47,0,6.46,有,
寶山鄉,土地,大壢段下大壢小段65-3地號,3.31,,山坡地保育區,林業用地,1091105,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,10000,3021,,0,0,,RPWNMLTKJIPFFCJ17DA,0,0,0,無,
湖口鄉,房地(土地+建物)+車位,鐵騎路１８６巷７弄６之１號五樓,20.97,,鄉村區,乙種建築用地,1091105,土地1建物1車位1,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1040830,97.76,2,1,1,有,有,4300000,43985,坡道機械,19.64,0,,RPTPMLTJJIPFFDJ07DA,52.85,1.3,5.83,有,
