鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
新埔鎮,土地,下旱坑段102地號,1292.14,,山坡地保育區,農牧用地,1070413,土地3建物0車位0,,,其他,,,,0,0,0,0,有,無,6860000,5309,,0,0,,RPWOMLLKNHNFFBJ98CA,0,0,0,,
竹北市,房地(土地+建物)+車位,新竹縣竹北市復興三路二段１０６號十六樓,19.79,商,,,1070315,土地1建物1車位2,十六層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030924,250.29,4,2,2,有,有,16000000,63926,坡道平面,63.13,0,親友、員工或其他特殊關係間之交易。,RPOOMLOKNHNFFBJ48CA,117.08,0,16.83,,
竹北市,房地(土地+建物)+車位,新竹縣竹北市縣政三街69號2樓,18.93,住,,,1070408,土地1建物1車位1,二層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,861104,137.72,3,2,2,有,有,7550000,54821,坡道平面,0,0,,RPPOMLOKNHNFFBJ58CA,74.9,0,14.47,,
關西鎮,土地,下南片段547地號,28.29,,山坡地保育區,農牧用地,1070426,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,100000,3535,,0,0,,RPROMLOKNHNFFBJ78CA,0,0,0,,
竹北市,房地(土地+建物),新竹縣竹北市國興街３２巷１１號,73.48,住,,,1070327,土地3建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1000216,234.48,4,2,2,有,有,16300000,69516,,0,0,,RPVOMLQKNHNFFBJ76CA,182.58,9.51,20.79,,
竹北市,房地(土地+建物),新竹縣竹北市三民路１０１號,306,住,,,1070406,土地1建物1車位0,一層，二層，三層，四層，騎樓,四層,店面(店鋪),住商用,鋼筋混凝土造,720418,544.9,27,0,27,有,無,38800000,71206,,0,0,,RPWOMLQKNHNFFBJ86CA,544.9,0,0,,
新埔鎮,土地,石頭坑段492地號,1659.75,,山坡地保育區,農牧用地,1070329,土地4建物0車位0,,,其他,,,,0,0,0,0,有,無,600000,362,,0,0,持分地親友、員工或其他特殊關係間之交易。,RPXNMLQKNHNFFBJ86CA,0,0,0,,
竹北市,房地(土地+建物)+車位,新竹縣竹北市新溪街13號十二樓,28.01,住,,,1070422,土地1建物1車位1,十二層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1050408,170.38,3,2,2,有,有,10200000,59866,坡道平面,0,0,,RPVOMLLLNHNFFBJ98CA,84.46,4.83,9.11,,
竹北市,房地(土地+建物)+車位,新竹縣竹北市六家五路一段３５８號十九樓,49.64,住,,,1070301,土地1建物1車位1,十九層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060705,240.89,4,2,3,有,有,21300000,98238,坡道平面,38.83,1450000,,RPVOMLQJOHNFFBJ76CA,125.91,0,10.15,,
北埔鄉,土地,神木段1218地號,248.74,,山坡地保育區,農牧用地,1070501,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,250000,1005,,0,0,,RPPNMLNKNHNFFCJ48CA,0,0,0,,
寶山鄉,土地,枋子坑段582地號,2493.91,,山坡地保育區,農牧用地,1070420,土地3建物0車位0,,,其他,,,,0,0,0,0,有,無,3491474,1400,,0,0,親友、員工或其他特殊關係間之交易。,RPUNMLOKNHNFFCJ09CA,0,0,0,,
寶山鄉,土地,枋子坑段560地號,2069.75,,山坡地保育區,農牧用地,1070420,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,2897650,1400,,0,0,親友、員工或其他特殊關係間之交易。,RPVNMLOKNHNFFCJ56CA,0,0,0,,
寶山鄉,土地,枋子坑段591地號,2369.59,,山坡地保育區,農牧用地,1070420,土地9建物0車位0,,,其他,,,,0,0,0,0,有,無,3317426,1400,,0,0,親友、員工或其他特殊關係間之交易。,RPWNMLOKNHNFFCJ66CA,0,0,0,,
橫山鄉,土地,田洋段1206地號,896.75,,山坡地保育區,農牧用地,1070421,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,3300000,3680,,0,0,含未保存建物,RPQOMLOKNHNFFCJ78CA,0,0,0,,
