鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
新竹市,房地(土地+建物)+車位,新竹市新竹市明湖路１０５０巷６６號４樓,37.88,,山坡地保育區,丙種建築用地,1070402,土地3建物1車位1,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,821216,120.98,3,1,2,有,有,2980000,24632,坡道平面,0,0,,RPQNMLPKNHNFFAO09CA,62.75,0,7.62,,
新竹市,房地(土地+建物),新竹市新竹市南勢街１５０號,97.9,,鄉村區,乙種建築用地,1070412,土地1建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1060424,280.83,7,2,4,有,無,21500000,76559,,0,0,,RPRNMLPKNHNFFAO56CA,241.63,14.65,24.55,,
新竹市,房地(土地+建物),新竹市新竹市南勢街１５６號,95.55,,鄉村區,乙種建築用地,1070414,土地2建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1060425,287.04,7,2,4,有,無,22700000,79083,,0,0,,RPSNMLPKNHNFFAO66CA,254.58,17.48,14.98,,
新竹市,房地(土地+建物),新竹市新竹市南勢街１５８號,142.08,,鄉村區,乙種建築用地,1070424,土地2建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1060425,307.34,7,2,4,有,無,25500000,82970,,0,0,,RPTNMLPKNHNFFAO76CA,276.67,17.55,13.12,,
新竹市,房地(土地+建物)+車位,新竹市新竹市中正路２２３巷２之２號６樓之１,21.19,其他,,,1070406,土地3建物1車位2,六層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,950217,187.3,4,2,2,有,有,12450000,66467,坡道機械,0,2000000,,RPSOMLPKNHNFFAO76CA,112.03,0,11.22,,
新竹市,房地(土地+建物)+車位,新竹市新竹市光復路一段272號7樓之3,11.02,住,,,1070414,土地1建物1車位1,七層,十八層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,860409,111.43,3,2,2,有,有,6000000,53845,坡道機械,0,0,,RPSNMLQKNHNFFAO76CA,61.93,0,8.12,,
新竹市,土地,金山段1402地號,116,住,,,1070331,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,9500000,81897,,0,0,本案為二親等間買賣。,RPRRMLQKNHNFFAO07CA,0,0,0,,
新竹市,土地,科學段一小段707-13地號,83,住,,,1070330,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,7850000,94578,,0,0,,RPUQMLRKNHNFFAO37CA,0,0,0,,
新竹市,房地(土地+建物)+車位,新竹市新竹市東明街５４號８樓,21.81,住,,,1070417,土地1建物1車位1,八層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,144.93,4,3,3,有,有,6860000,47333,坡道平面,0,0,,RPXPMLSKNHNFFAO67CA,73.54,0,11.75,,
新竹市,土地,古賢段181地號,117.45,,鄉村區,乙種建築用地,1070502,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,3000000,25543,,0,0,親友、員工或其他特殊關係間之交易。,RPQQMLLLNHNFFAO09CA,0,0,0,,
新竹市,房地(土地+建物)+車位,新竹市新竹市仁義街２８號十二樓,53.32,住,,,1070420,土地1建物1車位3,十二層,二十層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1020826,428.57,5,2,4,有,有,38900000,90769,坡道平面,0,4900000,,RPPPMLMLNHNFFAO98CA,195.72,12.52,22.2,,
