鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
竹北市,房地(土地+建物)+車位,新竹縣竹北市十興路一段２７７號６樓,25.39,住,,,1061128,土地1建物1車位1,六層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090117,166.99,3,2,2,有,有,10050000,68436,坡道平面,34.02,950000,,RPPOMLLKNHPFFBJ48CA,77.25,5.28,6.95,,
竹北市,房地(土地+建物)+車位,新竹縣竹北市隘口六街１９２號１０樓,20.72,住,,,1090229,土地1建物1車位1,十層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,960615,122.37,2,2,1,有,有,7380000,60309,坡道平面,29.06,0,含增建或未登記建物。；,RPOQMLMKNHPFFBJ68CA,54.36,3.98,9.53,,
竹北市,房地(土地+建物)+車位,新竹縣竹北市隘口七街６號二樓,25.45,住,,,1071005,土地1建物1車位1,二層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081004,133.85,2,2,1,有,有,9250000,87027,坡道平面,41.35,1200000,,RPPUMLMKNHPFFBJ56CA,53,0,5.86,,
竹北市,房地(土地+建物)+車位,新竹縣竹北市隘口七街１８號四樓,25.43,住,,,1090305,土地1建物1車位1,四層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081004,133.19,2,2,1,有,有,10100000,93641,坡道平面,41.35,1500000,,RPQUMLMKNHPFFBJ66CA,52.52,0,5.86,,
竹北市,房地(土地+建物)+車位,新竹縣竹北市隘口七街１８號七樓,25.45,住,,,1080623,土地1建物1車位1,七層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081004,133.19,2,2,1,有,有,9900000,92552,坡道平面,41.35,1400000,,RPRUMLMKNHPFFBJ76CA,52.52,0,5.86,,
竹北市,房地(土地+建物)+車位,新竹縣竹北市隘口七街１８號十二樓,25.43,住,,,1090304,土地1建物1車位1,十二層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081004,133.19,2,2,1,有,有,10500000,97997,坡道平面,41.35,1500000,,RPSUMLMKNHPFFBJ86CA,52.52,0,5.86,,
新埔鎮,土地,福田段389地號,196.06,住,,,1090414,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,11267000,57467,,0,0,,RPRNMLNKNHPFFBJ78CA,0,0,0,,
竹北市,房地(土地+建物),新竹縣竹北市中山路２３２巷６弄３０號,144.49,工,,,1090404,土地2建物1車位0,全,四層,透天厝,商業用,鋼筋混凝土造,950808,299.56,4,2,5,有,有,17680000,59020,,0,0,含增建或未登記建物。；,RPWOMLSKNHPFFBJ27CA,278.31,2.56,13.93,,
關西鎮,土地,關農段4地號,3837.58,農,,,1090218,土地3建物0車位0,,,其他,,,,0,0,0,0,有,無,34245370,8924,,0,0,,RPVPMLTKNHPFFBJ37CA,0,0,0,,
竹北市,房地(土地+建物)+車位,新竹縣竹北市文興路二段７０號１２樓之１,51.37,住,,,1090118,土地1建物1車位2,十二層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,970201,331.57,3,2,2,有,有,26180000,78955,坡道平面,0,2400000,,RPPOMLKLNHPFFBJ48CA,168.74,10,14.87,,
竹北市,房地(土地+建物)+車位,新竹縣竹北市嘉豐南路一段３２號十二樓,61.06,住,,,1090225,土地1建物1車位2,十二層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060329,403.18,3,2,3,有,有,49490000,143910,坡道平面,78.74,2800000,,RPTPMLKLNHPFFBJ98CA,184.88,16.31,16.49,,
竹北市,房地(土地+建物)+車位,新竹縣竹北市十興路一段５４８號九樓,26.77,住,,,1081207,土地1建物1車位1,九層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030321,187.4,3,2,2,有,有,14380000,76734,坡道平面,0,0,含增建或未登記建物。；,RPRQMLLLNHPFFBJ98CA,95.57,3.61,9.14,,
竹北市,房地(土地+建物)+車位,新竹縣竹北市嘉豐北路３６號二十一樓,19.28,住,,,1070706,土地1建物1車位1,二十一層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081014,123.59,2,1,1,有,無,10860000,107905,坡道平面,35.92,1400000,,RPQQMLRLNHPFFBJ86CA,49.14,0,4,,
竹北市,房地(土地+建物)+車位,新竹縣竹北市嘉豐北路２８號十三樓,19.28,住,,,1080916,土地1建物1車位1,十三層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081014,123.59,2,1,1,有,無,11300000,113380,坡道平面,35.92,1360000,,RPRQMLRLNHPFFBJ96CA,49.14,0,4,,
竹北市,房地(土地+建物)+車位,新竹縣竹北市嘉豐北路２６號十五樓,13.73,住,,,1081209,土地1建物1車位1,十五層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081014,83.51,1,1,1,有,無,7410000,100992,坡道機械,17.96,790000,,RPSQMLRLNHPFFBJ07CA,35.01,1.18,3.81,,
竹北市,房地(土地+建物)+車位,新竹縣竹北市嘉豐北路２６號十七樓,13.73,住,,,1070311,土地1建物1車位1,十七層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081014,83.51,1,1,1,有,無,7100000,97635,坡道機械,17.96,700000,,RPTQMLRLNHPFFBJ17CA,35.01,1.18,3.81,,
竹北市,房地(土地+建物)+車位,新竹縣竹北市嘉豐北路２０號七樓,20.65,住,,,1061225,土地1建物1車位1,七層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081014,129.69,2,1,1,有,無,10930000,102165,坡道平面,35.92,1350000,,RPUQMLRLNHPFFBJ27CA,52.59,0,4.42,,
竹北市,房地(土地+建物)+車位,新竹縣竹北市嘉豐北路２０號十三樓,20.65,住,,,1081127,土地1建物1車位1,十三層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081014,129.69,2,1,1,有,無,11110000,103978,坡道平面,35.92,1360000,,RPVQMLRLNHPFFBJ37CA,52.59,0,4.42,,
