鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
新竹市,房地(土地+建物)+車位,新竹市新竹市中山路６１６號四樓,26.03,住,,,1090426,土地3建物1車位1,四層,五層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1080716,125.33,3,2,2,有,有,9750000,74807,升降機械,5.02,750000,,RPOOMLLKNHPFFAO78CA,80.95,2.5,8.31,,
新竹市,房地(土地+建物),新竹市新竹市自由路９５巷１６之１號,17.62,商,,,1090410,土地1建物1車位0,一層，二層,十四層,店面(店鋪),見其他登記事項,鋼筋混凝土造,1070820,134.79,0,0,0,無,有,18200000,135025,,0,0,,RPWNMLMKNHPFFAO96CA,91.13,0,4.95,,
新竹市,房地(土地+建物),新竹市新竹市光復路二段155巷10弄25號三樓之11,10.62,住,,,1090418,土地3建物1車位0,三層,七層,華廈(10層含以下有電梯),辦公室,鋼筋混凝土造,960412,38.74,2,1,1,有,有,3900000,100671,,0,0,,RPPOMLMKNHPFFAO98CA,25.16,0,0,,
新竹市,房地(土地+建物)+車位,新竹市新竹市慈雲路１３５號二十四樓之１,20.9,商,,,1090315,土地1建物1車位2,二十四層,二十八層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1031208,262.5,4,2,2,有,有,21050000,89664,坡道平面,59.52,2850000,,RPXOMLMKNHPFFAO17CA,119.12,4.11,13.91,,
新竹市,房地(土地+建物)+車位,新竹市新竹市民主路１３９號５樓,16.13,住,,,1090407,土地1建物1車位1,五層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,841009,106.06,3,2,2,有,有,6600000,62229,坡道機械,0,0,陽台外移,RPUPMLMKNHPFFAO96CA,69.19,0,8.17,,
新竹市,土地,麗園段322-17地號,1092.39,,山坡地保育區,農牧用地,1090420,土地2建物0車位0,,,其他,,,,0,0,0,0,有,無,4670000,4275,,0,0,部分土地為道路用地，依公告現值計價,RPSQMLMKNHPFFAO86CA,0,0,0,,
新竹市,房地(土地+建物),新竹市新竹市至善街３５巷５４號三樓,13.83,,山坡地保育區,丙種建築用地,1090421,土地2建物3車位0,三層,五層,套房(1房1廳1衛),住家用,鋼筋混凝土造,860707,29.74,1,0,1,有,有,550000,18494,,0,0,,RPRNMLNKNHPFFAO56CA,18.01,0,3.4,,
新竹市,房地(土地+建物),新竹市新竹市西門街２９９巷２８號５樓,22.2,住,,,1090330,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,68.86,3,2,2,有,無,3000000,43567,,0,0,,RPRNMLRKNHPFFAO96CA,52.2,0,7.3,,
新竹市,房地(土地+建物),新竹市新竹市光華二街１７４號４樓,19.2,住,,,1090429,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,780821,78.74,3,2,1,有,無,4000000,50800,,0,0,親友、員工或其他特殊關係間之交易。；,RPTOMLSKNHPFFAO37CA,57.55,0,6.91,,
新竹市,房地(土地+建物)+車位,新竹市新竹市東大路一段２２８號３樓,13.67,住,,,1090425,土地2建物1車位1,三層,,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,970721,122.75,3,2,2,有,無,10500000,85540,升降機械,10.44,0,含增建或未登記建物。；,RPVOMLSKNHPFFAO57CA,80.59,0,11.06,,
