鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
新竹市,土地,海山段1011地號,567.28,工,,,1081227,土地3建物0車位0,,,其他,,,,0,0,0,0,有,無,10295400,18149,,0,0,,RPTRMLNKKHPFFAO86CA,0,0,0,,
新竹市,房地(土地+建物)+車位,新竹市新竹市柴橋路５９巷８３號８樓,46.16,,山坡地保育區,丙種建築用地,1081215,土地5建物1車位1,八層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,133.93,4,2,2,有,有,5700000,42560,坡道機械,0,0,,RPWRMLNKKHPFFAO17CA,86.54,0,12.48,,
新竹市,房地(土地+建物)+車位,新竹市新竹市新莊街209號11樓,16.99,住,,,1081228,土地2建物1車位1,十一層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,990824,127.7,2,2,1,有,有,9100000,71261,坡道平面,0,0,,RPPSMLNKKHPFFAO56CA,54.32,3.74,9.49,,
新竹市,房地(土地+建物)+車位,新竹市新竹市榮濱路１９巷２５號七樓之１,15.29,商,,,1081031,土地1建物1車位1,七層,十一層,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,1021220,111.74,1,1,1,有,有,4500000,40272,坡道平面,24.61,0,,RPWSMLNKKHPFFAO27CA,45.58,4.07,7.34,,
新竹市,房地(土地+建物),新竹市新竹市食品路５１巷１弄７號３樓,36.21,其他,,,1090114,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,690515,128.11,3,2,2,有,無,4600000,35907,,0,0,,RPTNMLOKKHPFFAO56CA,96.77,0,16.68,,
新竹市,土地,成德段585-2地號,186.68,住,,,1090121,土地5建物0車位0,,,其他,,,,0,0,0,0,有,無,9147320,49000,,0,0,向政府機關承購之案件。；,RPVNMLMKKHPFFAO56CA,0,0,0,,
新竹市,土地,南華段391地號,82.12,商,,,1081219,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,5810000,70750,,0,0,,RPXNMLMKKHPFFAO76CA,0,0,0,,
新竹市,土地,長春段196-1地號,8.69,住,,,1090204,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,810000,93211,,0,0,,RPOOMLMKKHPFFAO58CA,0,0,0,,
新竹市,房地(土地+建物),新竹市新竹市北大路１６號二十三樓之３,4.67,商,,,1090103,土地4建物1車位0,二十三層,二十八層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼骨鋼筋混凝土造,960703,95.55,2,2,2,有,有,7000000,73260,,0,0,,RPQQMLMKKHPFFAO98CA,64.8,1.28,3.69,,
新竹市,房地(土地+建物),新竹市新竹市經國路二段９５號,173,商,,,1081104,土地2建物1車位0,全,二層,透天厝,住家用,加強磚造,,163.5,7,2,3,有,無,27000000,165138,,0,0,含增建或未登記建物。；,RPTPMLOKKHPFFAO76CA,163.5,0,0,,
