鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
竹北市,房地(土地+建物)+車位,新竹縣竹北市六家五路二段２０８號３樓之６,22.65,住,,,1081229,土地1建物1車位1,三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,980504,156.14,3,2,2,有,有,10200000,65326,坡道平面,0,0,,RPTPMLLKKHPFFBJ68CA,78.19,6.29,3.8,,
竹北市,房地(土地+建物)+車位,新竹縣竹北市隘口七街１０號五樓,17.39,住,,,1070504,土地1建物1車位1,五層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081004,103.27,1,1,1,有,有,6890000,88663,坡道平面,41.35,1400000,,RPVPMLLKKHPFFBJ88CA,35.26,0,4.09,,
竹北市,房地(土地+建物)+車位,新竹縣竹北市成功一街６７號十三樓,12.26,商,,,1081226,土地1建物1車位1,十三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,930524,128.32,3,2,2,有,有,7990000,62266,坡道機械,17.58,0,,RPOOMLMKKHPFFBJ18CA,67.71,3.51,12.48,,
竹北市,房地(土地+建物)+車位,新竹縣竹北市隘口二路３號十一樓,43.37,住,,,1081223,土地1建物1車位2,十一層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,990201,277.95,3,2,2,有,有,19750000,71056,坡道平面,0,0,,RPROMLMKKHPFFBJ48CA,108.62,13.96,38.64,,
竹北市,房地(土地+建物)+車位,新竹縣竹北市東興里光明六路東二段281號二樓,43.76,住,,,1081109,土地1建物2車位1,二層,十三層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1060626,270.42,3,2,2,有,有,26630000,112219,坡道平面,44.7,1300000,本案內含獎勵停車位持分1/33。,RPOPMLMKKHPFFBJ28CA,105.64,5.01,10.62,,
竹北市,房地(土地+建物),新竹縣竹北市東興里光明六路東二段281號八樓,42.72,住,,,1090105,土地1建物2車位0,八層,十三層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1060626,232.63,3,2,2,有,有,23220000,99815,,0,0,本案內含獎勵停車位持分1/33。,RPPPMLMKKHPFFBJ38CA,105.64,11.91,10.62,,
新埔鎮,土地,福德段47-6地號,6.55,商,,,1081216,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,240000,36641,,0,0,,RPQNMLNKKHPFFBJ38CA,0,0,0,,
新埔鎮,土地,正興段876地號,236.72,其他,,,1090116,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,2148000,9074,,0,0,,RPQNMLOKKHPFFBJ48CA,0,0,0,,
新埔鎮,土地,和平段651地號,231.64,其他,,,1090116,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,972888,4200,,0,0,,RPRNMLOKKHPFFBJ58CA,0,0,0,,
新埔鎮,土地,和平段696地號,152.42,其他,,,1090116,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,1082146,7100,,0,0,,RPTNMLOKKHPFFBJ78CA,0,0,0,,
竹北市,房地(土地+建物)+車位,新竹縣竹北市六家八街１號５樓,49.37,住,,,1081126,土地1建物1車位2,五層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,970729,275.72,4,2,2,有,有,18750000,68001,坡道平面,0,0,,RPUOMLOKKHPFFBJ98CA,135.54,4.16,14.24,,
竹北市,房地(土地+建物)+車位,新竹縣竹北市隘口二路１２巷９號二樓,30.91,住,,,1081221,土地1建物1車位1,二層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000720,182.09,4,2,2,有,有,16060000,88203,坡道平面,0,0,,RPPOMLSKKHPFFBJ88CA,95.32,12.19,8.25,,
竹北市,房地(土地+建物)+車位,新竹縣竹北市莊敬三路６８之６號九樓,19.86,商,,,1081206,土地1建物1車位1,九層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,930705,168.13,4,2,2,有,有,12000000,71373,坡道平面,0,0,,RPWNMLTKKHPFFBJ96CA,106.41,0,6.15,,
竹北市,房地(土地+建物)+車位,新竹縣竹北市勝利七街二段１４８號十二樓,26.16,住,,,1090105,土地1建物1車位2,十二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,940608,148.6,3,2,2,有,有,9500000,63930,坡道機械,0,0,,RPPOMLTKKHPFFBJ98CA,77.17,2.49,7.35,,
竹北市,房地(土地+建物),新竹縣竹北市博愛街４８６巷６號七樓,6.09,商,,,1081224,土地1建物1車位0,七層,七層,套房(1房1廳1衛),商業用,鋼筋混凝土造,940215,33.43,1,1,1,有,有,2350000,70296,,0,0,,RPPNMLNLKHPFFBJ38CA,19.31,0,2.62,,
新埔鎮,土地,福德段274地號,89.01,其他,,,1081201,土地2建物0車位0,,,其他,,,,0,0,0,0,有,無,6809265,76500,,0,0,協議價購案件,RPUNMLNJLHPFFBJ78CA,0,0,0,,
新埔鎮,土地,福德段267地號,15.5,其他,,,1081201,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,1185750,76500,,0,0,協議價購案件,RPVNMLNJLHPFFBJ88CA,0,0,0,,
新埔鎮,土地,福德段266地號,11.23,其他,,,1081201,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,859095,76500,,0,0,協議價購案件,RPWNMLNJLHPFFBJ98CA,0,0,0,,
竹北市,房地(土地+建物)+車位,新竹縣竹北市高鐵二路127號五樓,39.96,商,,,1090102,土地1建物1車位2,五層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030128,335.26,3,2,2,有,有,22700000,67709,坡道平面,78.02,0,,RPVNMLOJLHPFFBJ98CA,152.6,13.08,12.14,,
寶山鄉,土地,寶斗仁段寶斗仁小段529-6地號,109,,山坡地保育區,林業用地,1090122,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,141700,1300,,0,0,畸零地或有合併使用之交易。；,RPUNMLMKKHPFFCJ78CA,0,0,0,,
