鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
竹北市,房地(土地+建物)+車位,新竹縣竹北市莊敬三路２１３號７樓,22.22,商,,,1071016,土地1建物1車位2,七層,二十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1041102,288.52,4,2,3,有,有,17710000,72509,坡道平面,66.34,1600000,車位價款內含土地款77萬元.建物款83萬元合計160萬元,RPTOMLLKKHOFFBJ48CA,130.49,6.65,14.15,,
竹北市,房地(土地+建物)+車位,新竹縣竹北市莊敬三路２１１號１３樓,22.38,商,,,1071222,土地1建物1車位2,十三層,二十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1041102,293.07,3,2,3,有,有,18600000,75618,坡道平面,70.9,1800000,車位價款內含土地款86萬元.建物款94萬元合計180萬元,RPUOMLLKKHOFFBJ58CA,130.49,6.65,14.15,,
竹北市,房地(土地+建物)+車位,新竹縣竹北市勝利六街７號１２樓,19.55,商,,,1071225,土地1建物1車位2,十二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,931018,235.16,3,2,2,有,有,12400000,52728,坡道平面,0,0,,RPQOMLOKKHOFFBJ48CA,109.12,4.75,24.64,,
竹北市,房地(土地+建物)+車位,新竹縣竹北市興隆路五段３９號四樓,67.72,住,,,1071228,土地1建物1車位2,四層,八層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1050804,327.85,4,2,2,有,無,21400000,65274,坡道平面,0,0,,RPUOMLTKKHOFFBJ76CA,139.61,6.53,17.96,,
竹北市,房地(土地+建物)+車位,新竹縣竹北市六家五路一段１５９號１１樓,36.47,住,,,1080102,土地1建物1車位2,十一層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040828,235,4,2,2,有,有,16500000,70213,坡道平面,67.24,0,含增建。,RPQQMLTKKHOFFBJ56CA,103.06,0,10.91,,
竹北市,房地(土地+建物)+車位,新竹縣竹北市十興二街１５８號十一樓,21.02,住,,,1071224,土地1建物1車位1,十一層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1050729,136.76,2,1,1,有,有,8500000,62153,坡道平面,0,0,,RPWPMLLLKHOFFBJ98CA,58.07,4.68,10.42,,
竹北市,房地(土地+建物),新竹縣竹北市六家五路一段３６６號十樓,24.27,住,,,1071129,土地1建物1車位0,十層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060705,115.25,2,1,1,有,有,10750000,93275,,0,0,,RPTQMLRJLHOFFBJ66CA,61.62,0,10.24,,
竹北市,車位,新竹縣竹北市六家五路一段３６２號等,0,,,,1080103,土地0建物0車位1,,,其他,,,,38.83,0,0,0,有,有,1280000,,坡道平面,38.83,1280000,,RPPPMLSJLHOFFBJ88CA,0,0,0,,
橫山鄉,土地,內灣段34-5地號,87.88,,山坡地保育區,丙種建築用地,1080123,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,1236140,14066,,0,0,每坪按46500元計價,RPTPMLLKKHOFFCJ68CA,0,0,0,,
橫山鄉,土地,內灣段34-6地號,19.52,,山坡地保育區,丙種建築用地,1080123,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,263860,13517,,0,0,每坪按46500元計價,RPUPMLLKKHOFFCJ78CA,0,0,0,,
