鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
新竹市,房地(土地+建物),新竹市新竹市自由路７１號六樓之８,3.83,商,,,1080925,土地1建物1車位0,六層,十三層,套房(1房1廳1衛),住家用,鋼筋混凝土造,920110,54.95,1,1,1,有,有,2950000,53685,,0,0,,RPOOMLOKJIOFFAO68CA,37.05,0,0,,
新竹市,房地(土地+建物)+車位,新竹市新竹市關新二街７５號十樓,30.19,住,,,1081014,土地1建物1車位1,十層,二十一層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070921,193.88,2,2,2,有,有,19000000,97999,坡道平面,30.11,0,,RPOQMLNKJIOFFAO78CA,87.17,12.02,8.68,,
新竹市,房地(土地+建物),新竹市新竹市柯湳一街８０巷６號三樓,63.07,,山坡地保育區,丙種建築用地,1081014,土地2建物2車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,900510,80.54,4,0,4,有,有,2000000,24835,,0,0,,RPUNMLPKJIOFFAO66CA,66.64,0,5.76,,
新竹市,房地(土地+建物),新竹市新竹市建中路59號9樓之2,26.59,住,,,1081007,土地1建物1車位0,九層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,870410,130.46,3,2,2,有,有,8100000,62088,,0,0,,RPPQMLPKJIOFFAO09CA,78.23,0,11.59,,
新竹市,房地(土地+建物),新竹市新竹市武陵路７３巷２６號１０樓,45.09,住,,,1080929,土地1建物1車位0,十層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,930915,169.67,3,2,2,有,有,8350000,49213,,0,0,,RPWRMLPKJIOFFAO27CA,101.11,0,12.27,,
新竹市,房地(土地+建物)+車位,新竹市新竹市北大路２０１號十八樓之１０,13.43,商,,,1080904,土地1建物1車位1,十八層,二十七層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070903,179.19,3,2,2,有,有,18000000,106208,坡道平面,27.6,1900000,,RPRNMLLLJIOFFAO68CA,90.13,0,14.3,,
新竹市,房地(土地+建物)+車位,新竹市新竹市北大路２０１號二十樓之８,9.23,商,,,1081104,土地1建物1車位1,二十層,二十七層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070903,131.64,2,2,1,有,有,12800000,110370,坡道平面,29.71,1550000,,RPUNMLLLJIOFFAO98CA,63.3,0,5.19,,
新竹市,房地(土地+建物),新竹市新竹市國光街１３０號,44,住,,,1081012,土地1建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,880302,148.75,3,2,4,有,無,9650000,64874,,0,0,,RPTPMLLLJIOFFAO09CA,99.54,17.23,31.98,,
新竹市,房地(土地+建物)+車位,新竹市新竹市中央路129號21樓,29.19,住,,,1070119,土地1建物1車位1,二十一層,二十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1071114,322.89,0,0,0,無,有,38420000,127234,坡道平面,34.68,1750000,建商與地主合建案。；,RPPNMLKMJIOFFAO48CA,160.96,9.8,20.82,,
新竹市,房地(土地+建物)+車位,新竹市新竹市中央路127號19樓,35.71,住,,,1080622,土地1建物1車位2,十九層,二十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1071114,419.59,0,0,0,無,有,51860000,137795,坡道平面,69.36,3600000,建商與地主合建案。；,RPVNMLKMJIOFFAO09CA,198.82,9.8,24.19,,
新竹市,房地(土地+建物)+車位,新竹市新竹市中央路127號15樓,35.71,住,,,1041204,土地1建物1車位2,十五層,二十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1071114,419.59,0,0,0,無,有,48120000,127402,坡道平面,69.36,3500000,建商與地主合建案。；,RPOOMLKMJIOFFAO48CA,198.82,9.8,24.19,,
新竹市,房地(土地+建物)+車位,新竹市新竹市中央路129號18樓,29.76,住,,,1070521,土地1建物1車位1,十八層,二十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1071114,327.48,0,0,0,無,有,38550000,125683,坡道平面,34.68,1750000,建商與地主合建案。；,RPTOMLKMJIOFFAO98CA,160.96,9.8,23.82,,
新竹市,房地(土地+建物)+車位,新竹市新竹市中央路127號21樓,35.42,住,,,1080606,土地1建物1車位2,二十一層,二十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1071114,414.84,0,0,0,無,有,51480000,138879,坡道平面,69.36,3500000,建商與地主合建案。；,RPPNMLLJKIOFFAO38CA,198.82,9.8,21.03,,
