鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
竹北市,土地,東海窟段東海窟小段59地號,423.08,,特定農業區,農牧用地,1081011,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,10494000,24804,,0,0,,RPSOMLNKJIOFFBJ58CA,0,0,0,,
竹北市,房地(土地+建物)+車位,新竹縣竹北市縣政八街６８巷3號16樓,21.4,商,,,1080912,土地1建物1車位2,十六層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,960731,263.78,4,2,2,有,有,14500000,54972,坡道平面,0,0,,RPXOMLNKJIOFFBJ09CA,128.18,0,16.53,,
竹北市,土地,華城段435地號,1750.11,,山坡地保育區,農牧用地,1080924,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,9000000,5143,,0,0,,RPQOMLLKJIOFFBJ18CA,0,0,0,,
竹北市,房地(土地+建物)+車位,新竹縣竹北市成功十二街５６號八樓,49.01,住,,,1081009,土地1建物1車位2,八層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020513,307.84,4,2,2,有,有,23000000,74714,坡道平面,66.12,0,,RPSOMLLKJIOFFBJ38CA,136.05,8.91,15.26,,
竹北市,房地(土地+建物)+車位,新竹縣竹北市莊敬三路１０１號三樓,20.09,商,,,1081006,土地1建物1車位1,三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,931228,193.85,3,2,2,有,有,13880000,71602,坡道平面,30.17,0,,RPPNMLMKJIOFFBJ08CA,109.32,4.45,10.93,,
新埔鎮,房地(土地+建物),新竹縣新埔鎮文山路?頭山段８９１巷６弄２６號,80.23,,鄉村區,乙種建築用地,1080928,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,690118,115.2,5,3,2,有,無,9000000,78125,,0,0,親友、員工或其他特殊關係間之交易。；,RPUOMLOKJIOFFBJ88CA,115.2,0,0,,
竹北市,房地(土地+建物)+車位,新竹縣竹北市新泰路５３巷１０號十樓,13.53,商,,,1081005,土地1建物1車位1,十層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,941116,103.55,2,2,1,有,有,5430000,52438,坡道機械,0,0,,RPUNMLSKJIOFFBJ56CA,62.28,0,6.72,,
竹北市,房地(土地+建物)+車位,新竹縣竹北市縣政三街５７號,31.11,商,,,1080921,土地1建物1車位1,一層，二層，騎樓,九層,店面(店鋪),商業用,鋼筋混凝土造,861104,210.86,0,0,0,無,有,11750000,55724,坡道平面,0,0,,RPOOMLSKJIOFFBJ68CA,124.47,10.52,13.58,,
竹北市,房地(土地+建物)+車位,新竹縣竹北市嘉政五街２５號八樓,40.78,住,,,1080924,土地1建物1車位2,八層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020329,258.08,3,2,2,有,有,20500000,79433,坡道平面,43.04,0,,RPRNMLTKJIOFFBJ98CA,124.15,7.76,14.25,,
竹北市,房地(土地+建物)+車位,新竹縣竹北市嘉興路３８４巷１７號二樓,25.38,住,,,1080822,土地1建物1車位1,二層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,830504,135.21,3,2,2,有,有,4500000,33282,坡道機械,0,0,親友、員工或其他特殊關係間之交易。；,RPVNMLQLJIOFFBJ56CA,88.16,0,11.29,,
