鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
新竹市,土地,中華段886-2地號,117.7,其他,,,1070727,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,3031952,25760,,0,0,包含公共設施保留地之交易。；,RPXPMLOKQHNFFAO57CA,0,0,0,,
新竹市,房地(土地+建物),新竹市新竹市建新路62號6樓之1,25.53,住,,,1070722,土地1建物1車位0,六層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,861111,138.8,4,2,2,有,有,8430000,60735,,0,0,,RPQQMLOKQHNFFAO96CA,81.66,1.11,11.44,,
新竹市,房地(土地+建物),新竹市新竹市閑谷街５１巷２６號,310.64,,山坡地保育區,丙種建築用地,1070727,土地7建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1010308,298.51,5,2,4,有,有,13750000,46062,,0,0,本案233、234建號為社區活動中心（會館）之公設移轉,RPUNMLRKQHNFFAO37CA,243.23,24.25,27.27,,
新竹市,土地,崙子段1532地號,482.97,其他,,,1070727,土地4建物0車位0,,,其他,,,,0,0,0,0,有,無,12401602,25678,,0,0,包含公共設施保留地之交易。；,RPPPMLSLQHNFFAO27CA,0,0,0,,
新竹市,房地(土地+建物)+車位,新竹市新竹市食品路２５６號十樓,27.95,住,,,1070614,土地1建物1車位1,十層，見其他登記事項,十一層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1021220,185.2,4,2,4,有,有,15800000,85313,坡道平面,0,0,,RPXOMLNJRHNFFAO37CA,108.25,3.95,9.58,,
新竹市,房地(土地+建物),新竹市新竹市仁德街５０號二樓之６,4.09,商,,,1070720,土地1建物1車位0,二層,十一層,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,961205,34.1,1,1,1,有,有,2300000,67449,,0,0,,RPVQMLOJRHNFFAO47CA,17.21,1.5,3.47,,
新竹市,房地(土地+建物),新竹市新竹市武陵路271巷57弄26號6樓,21.32,住,,,1070702,土地1建物1車位0,六層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,820807,100.97,3,2,2,有,有,5200000,51500,,0,0,,RPSOMLKKRHNFFAO66CA,68.03,0,8.98,,
新竹市,土地,柴橋段827地號,367.51,其他,,,1070724,土地2建物0車位0,,,其他,,,,0,0,0,0,有,無,10000000,27210,,0,0,親友、員工或其他特殊關係間之交易。；,RPOOMLPKQHNFFAO76DA,0,0,0,,
新竹市,房地(土地+建物),新竹市新竹市東山街39巷2之7號,26.77,住,,,1070716,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,671108,57.49,3,1,1,有,無,2855055,49662,,0,0,親友、員工或其他特殊關係間之交易。；,RPVQMLPKQHNFFAO67DA,57.49,0,0,,
新竹市,房地(土地+建物),新竹市新竹市東山街60巷27弄3號,77,住,,,1070716,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,571128,103.5,3,2,2,有,無,4294200,41490,,0,0,親友、員工或其他特殊關係間之交易。；,RPWQMLPKQHNFFAO77DA,103.5,0,0,,
新竹市,車位,新竹市新竹市新竹市食品路252號等,6.5,住,,,1070614,土地0建物0車位1,,,其他,,,,32.86,0,0,0,有,有,1200000,,坡道平面,0,1200000,單獨車位交易。；,RPXOMLPJRHNFFAO57CA,0,0,0,,
新竹市,房地(土地+建物)+車位,新竹市新竹市延平路一段３８９號四樓之５,28.66,,鄉村區,乙種建築用地,1070713,土地3建物1車位1,四層,十層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1040620,152.71,3,2,2,有,有,8700000,56971,坡道平面,29.38,0,,RPVNMLNJRHNFFAO07CA,67.18,12.71,7.69,,
新竹市,房地(土地+建物)+車位,新竹市新竹市關新路１９巷4１號2樓,18.01,其他,,,1070722,土地1建物1車位2,二層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,980721,197.74,4,2,2,有,有,13300000,67260,坡道平面,0,0,,RPSNMLKMQHNFFAO66CA,97.26,0,10.15,,
新竹市,房地(土地+建物),新竹市新竹市光復路１段１８巷４弄１４號,81,住,,,1070716,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,680423,116.64,4,2,2,有,無,4200000,36008,,0,0,親友、員工或其他特殊關係間之交易。；,RPSPMLRKQHNFFAO37CA,116.64,0,0,,
新竹市,土地,金雅段39地號,1139.93,,鄉村區,乙種建築用地,1070702,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,144828600,127050,,0,0,,RPOOMLTKQHNFFAO07CA,0,0,0,,
新竹市,房地(土地+建物)+車位,新竹市新竹市埔頂二路１２３號十三樓之８,19.31,住,,,1070711,土地1建物1車位1,十三層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1001130,180.8,3,2,2,有,有,14600000,80752,坡道平面,29.43,0,,RPVRMLPKQHNFFAO67CA,91,5.56,9.23,,
新竹市,房地(土地+建物),新竹市新竹市新光路４２巷２５號三樓之５,12.6,其他,,,1070709,土地1建物1車位0,三層,七層,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,1060206,59.25,1,1,1,有,有,6600000,111392,,0,0,,RPOSMLPKQHNFFAO07CA,29.37,8.18,1.9,,
新竹市,房地(土地+建物),新竹市新竹市林森路275號10樓之8,2.7,商,,,1070722,土地1建物1車位0,十層,十七層,套房(1房1廳1衛),辦公室,鋼筋混凝土造,860520,32.43,1,1,1,有,有,1670000,51496,,0,0,,RPSNMLQKQHNFFAO07CA,23.03,0,0,,
新竹市,房地(土地+建物),新竹市新竹市中華路三段１０號６樓之２,3.91,商,,,1070728,土地1建物1車位0,六層,十四層,套房(1房1廳1衛),住家用,鋼筋混凝土造,890417,38.58,1,1,1,有,有,1850000,47952,,0,0,,RPVNMLQKQHNFFAO37CA,24.98,0,5,,
新竹市,房地(土地+建物)+車位,新竹市新竹市延平路一段４７７巷２２號２樓,32.62,,鄉村區,乙種建築用地,1070705,土地3建物1車位1,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,810213,101.02,2,1,1,有,有,4160000,41180,坡道平面,0,0,,RPOOMLQKQHNFFAO76CA,57.38,0,7.67,,
新竹市,房地(土地+建物),新竹市新竹市明湖路７５１號地下三層之３２,14.1,其他,,,1070726,土地1建物1車位0,地下三層,四層,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,940220,50.46,1,1,1,有,有,1840000,36465,,0,0,,RPPQMLRKQHNFFAO17CA,30.98,0,0,,
新竹市,房地(土地+建物)+車位,新竹市新竹市關新東路266號十六樓之1,52.93,住,,,1070715,土地2建物1車位3,十六層,二十六層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1020710,421.38,4,2,4,有,有,35980000,85386,坡道平面,0,0,,RPPPMLKLQHNFFAO09CA,198.61,8.15,28.05,,
新竹市,房地(土地+建物),新竹市新竹市西門街２２０號２樓,32.94,住,,,1070714,土地2建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,641212,95.24,3,2,2,有,無,4008000,42083,,0,0,親友、員工或其他特殊關係間之交易。；,RPVQMLLLQHNFFAO27CA,95.24,0,0,,
新竹市,房地(土地+建物),新竹市新竹市金竹路121號二樓,24.23,住,,,1070702,土地1建物1車位0,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,790720,139.12,3,2,2,有,有,6200000,44566,,0,0,,RPOOMLNLQHNFFAO56CA,105.2,0,6.56,,
新竹市,車位,新竹市新竹市經國路二段５３７號,1.21,商,,,1070731,土地0建物0車位1,一層,十三層,其他,見其他登記事項,鋼筋混凝土造,951220,21.69,0,0,0,有,有,550000,,坡道平面,21.68,550000,單獨車位交易。一個車位為2筆土地一筆建號，土地價格為32萬建物價格為23萬,RPXNMLOLQHNFFAO47CA,0,0,0,,
新竹市,房地(土地+建物)+車位,新竹市新竹市慈雲路８７號５樓之５,11.42,商,,,1070614,土地1建物1車位1,五層,二十七層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1041208,154.73,2,2,1,有,有,11460000,74064,坡道平面,33.07,0,,RPQNMLTKQHNFFAO17CA,69.04,2.59,11.1,,
新竹市,房地(土地+建物),新竹市新竹市寶山路452巷16弄29號,72.2,住,,,1070616,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,860618,164.36,5,2,3,有,無,9000000,54758,,0,0,,RPXNMLKLQHNFFAO07CA,147.81,0,16.55,,
新竹市,房地(土地+建物)+車位,新竹市新竹市慈祥路88號11樓之2,13.61,住,,,1070709,土地1建物1車位1,十一層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1000324,121.08,3,2,2,有,有,8800000,72679,坡道平面,0,0,,RPSSMLLLQHNFFAO17CA,57.77,1.74,8.42,,
新竹市,房地(土地+建物),新竹市新竹市中山路２３７之５號,6,商,,,1070729,土地1建物2車位0,一層,十層,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,960606,38.29,1,1,1,有,有,3350000,87490,,0,0,,RPQNMLMLQHNFFAO56CA,19.29,6.54,0,,
新竹市,房地(土地+建物),新竹市新竹市東大路三段２７７之６號,90.41,住,,,1070717,土地3建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1041225,230.71,4,2,4,有,無,13600000,58948,,0,0,,RPUPMLQKQHNFFAO47CA,213.34,6.75,10.62,,
新竹市,土地,信義段747-4地號,499,住,,,1070707,土地2建物0車位0,,,其他,,,,0,0,0,0,有,無,53000000,106212,,0,0,,RPVPMLQKQHNFFAO57CA,0,0,0,,
